"#","Reference","Category","Qty","Price","Value","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Alternative Mouser Part Number","Length","Purchase-URL","DNP","Exclude from BOM","Exclude from Board","Package","Description","Footprint","Datasheet","Availability"
"1","C1,C2","PCB","2","0,58 €","22uF","KEMET","C1206C226M4PACTU","80-C1206C226M4P","","","https://mou.sr/4tZFwct","","","","1206","22µF 16V X5R MLCC, 1206, non-polarized. Sync delay capacitor for HSync/VSync XOR sync combiner.","vga_sync_combiner_footprints:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.de/datasheet/3/72/1/C1206C226M4PACTU.pdf","In Stock"
"2","C3","PCB","1","0,58 €","22uF","KEMET","C1206C226M4PACTU","80-C1206C226M4P","","","https://mou.sr/4tZFwct","","","","1206","22µF 16V X5R MLCC, 1206, non-polarized. +5V_LOAD bulk / input buffer capacitor after power-source jumper.","vga_sync_combiner_footprints:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.de/datasheet/3/72/1/C1206C226M4PACTU.pdf","In Stock"
"3","C4","PCB","1","0,45 €","100nF","KEMET","C1206C104J4RACTU","80-C1206C104J4R","","","https://mou.sr/42HmjR3","","","","1206","100nF 16V X7R MLCC, 1206, non-polarized. Local decoupling capacitor for IC1 VCC/GND.","vga_sync_combiner_footprints:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.de/datasheet/3/508/1/KEM_C1002_X7R_SMD.pdf","In Stock"
"4","D1","PCB","1","1,03 €","PWR_LED","Broadcom / Avago","HSMQ-C150","630-HSMQ-C150","","","https://mou.sr/46z2M7Y","","","","1206","Broadcom 527 nm Green LED, 3216 (1206) SMD package","vga_sync_combiner_footprints:LEDC3216X120N","https://docs.broadcom.com/docs/AV02-0977EN","In Stock"
"5","IC1","PCB","1","0,34 €","74HCT86","Texas Instruments","CD74HCT86M96","595-CD74HCT86M96","","","https://mou.sr/4gXf9yn","","","","SOIC-14","High Speed CMOS Logic Quad 2-Input Exclusive-OR Gates","vga_sync_combiner_footprints:SOIC127P600X175-14N","http://www.ti.com/lit/gpn/cd74hct86","In Stock"
"6","J1","PCB","1","1,50 €","VGA_RGBHV_IN","Amphenol","L77HDE15SD1CH4F","523-L77HDE15SD1CH4F","523-7HDE15SD1CH4FVGA","","https://mou.sr/4mSe1Ny","","","","HD-15 Right Angle THT","Amphenol ICC HD-15 VGA Socket, Right Angle PCB Through Hole, 15 Position, 4-40 Front Screwlock, Ground Tab, Boardlock. Alternative: L77HDE15SD1CH4FVGA, blue VGA version with matching footprint/pinout.","vga_sync_combiner_footprints:L77HDE15SD1CH4F","https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/l77hdxxxsd1ch4f.pdf","In Stock"
"7","J2","PCB","1","0,22 €","POWER_SOURCE_JUMPER_HEADER","Wurth Elektronik","61300511121","710-61300511121","","","https://mou.sr/4720HR3","","","","Pin Header 1x5 2.54mm","2.54MM PIN HEADER, 5 position","vga_sync_combiner_footprints:HDRV5W64P0X254_1X5_1270X254X854P","http://katalog.we-online.de/em/datasheet/6130xx11121.pdf","In Stock"
"8","J3","PCB","1","0,09 €","JST ZR 1x2 Header","JST","B2B-ZR(LF)(SN)","306-B2BZRLFSNP","","","https://mou.sr/3W1Ls5A","","","","JST ZR 1x2 1.5mm THT","JST ZR Series 1.5mm Pitch, 2 Way, 1 Row, Shrouded Top Entry PCB Header, Through Hole","vga_sync_combiner_footprints:SHDR2W50P0X150_1X2_450X350X450P","https://componentsearchengine.com/Datasheets/2/B2B-ZR(LF)(SN).pdf","In Stock"
"9","J4","PCB","1","2,14 €","RGBS_OUT_PCB_HEADER","TE Connectivity","2-1445098-5","571-2-1445098-5","","","https://mou.sr/42nyMJL","","","","Micro-MATE-N-LOK 5P RA THT Header","TE Connectivity Micro-MATE-N-LOK 5 Position Right Angle PCB Mount Header, 3mm Pitch, Wire-to-Board, for RGBS_OUT","vga_sync_combiner_footprints:214450985","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1445098&DocType=Customer+Drawing&DocLang=English&PartCntxt=2-1445098-5&DocFormat=pdf","In Stock"
"10","J5","PCB","1","0,55 €","USB-C","GCT (GLOBAL CONNECTOR TECHNOLOGY)","USB4135-GF-A","640-USB4135-GF-A","","","https://mou.sr/3J7hTfS","","","","USB-C RA SMD Power-Only","GCT USB Type-C Receptacle, Power-Only, Right Angle SMD, USB4135-GF-A","vga_sync_combiner_footprints:USB4135GFA","https://www.mouser.com/catalog/specsheets/GCT_USb4135_Product_Drawing.pdf?_gl=1*wefdt*_gcl_aw*R0NMLjE3NzgzNTU2ODAuQ2p3S0NBand0dnZQQmhCdUVpd0FQTWlqcjRzVWJjTzVNbXlid2ttd2NLRi1VTEQ1SGJOamFKbXVYclZYcTBYY3lLNGM1S0h3dTJ6WlVSb0NpeVlRQXZEX0J3RQ..*_gcl_au*MTA4NzcxMzEzMS4xNzc3MzIzNDkzLjgxNDEyNzI3Mi4xNzc4MzU5MzA3LjE3NzgzNjEwMjM.*_ga*NTc5MjQ2MTYuMTc3NzMyMzQ5Mw..*_ga_15W4STQT4T*czE3NzgzNTQ2OTkkbzEyJGcxJHQxNzc4MzYxMDI1JGo0NSRsMCRoMA..","In Stock"
